Area,Year,InMonth,InDay,OutMonth,OutDay,preliminary
近畿,1952,6,14,7,15,0
近畿,1953,5,28,7,24,0
近畿,1954,5,30,7,21,0
近畿,1955,6,15,7,9,0
近畿,1956,5,22,7,12,0
近畿,1957,6,17,7,29,0
近畿,1958,6,25,7,12,0
近畿,1959,6,5,7,20,0
近畿,1960,6,10,7,11,0
近畿,1961,6,9,7,13,0
近畿,1962,6,2,7,20,0
近畿,1963,,,7,13,0
近畿,1964,6,13,7,22,0
近畿,1965,6,12,7,25,0
近畿,1966,5,29,7,13,0
近畿,1967,6,21,7,13,0
近畿,1968,6,13,7,17,0
近畿,1969,6,17,7,15,0
近畿,1970,6,10,7,18,0
近畿,1971,6,3,7,28,0
近畿,1972,6,3,7,18,0
近畿,1973,6,5,7,4,0
近畿,1974,6,11,7,20,0
近畿,1975,6,5,7,15,0
近畿,1976,6,5,7,20,0
近畿,1977,6,7,7,20,0
近畿,1978,6,11,7,3,0
近畿,1979,6,7,7,22,0
近畿,1980,5,29,7,20,0
近畿,1981,6,11,7,16,0
近畿,1982,6,13,7,27,0
近畿,1983,6,12,7,25,0
近畿,1984,6,8,7,17,0
近畿,1985,6,7,7,15,0
近畿,1986,6,16,7,27,0
近畿,1987,6,8,7,24,0
近畿,1988,6,8,7,31,0
近畿,1989,6,8,7,19,0
近畿,1990,5,31,7,18,0
近畿,1991,5,26,7,21,0
近畿,1992,6,7,7,21,0
近畿,1993,5,30,,,0
近畿,1994,6,8,7,10,0
近畿,1995,6,3,7,23,0
近畿,1996,6,7,7,11,0
近畿,1997,6,2,7,18,0
近畿,1998,6,2,7,31,0
近畿,1999,6,3,7,22,0
近畿,2000,6,9,7,18,0
近畿,2001,6,5,7,19,0
近畿,2002,6,11,7,20,0
近畿,2003,6,10,8,1,0
近畿,2004,6,6,7,13,0
近畿,2005,6,11,7,18,0
近畿,2006,6,8,7,27,0
近畿,2007,6,14,7,24,0
近畿,2008,5,28,7,12,0
近畿,2009,6,3,8,3,0
近畿,2010,6,13,7,17,0
近畿,2011,5,22,7,8,0
近畿,2012,6,8,7,16,0
近畿,2013,5,27,7,8,0
近畿,2014,6,3,7,20,0
近畿,2015,6,3,7,24,0
近畿,2016,6,4,7,18,0
近畿,2017,6,20,7,13,0
近畿,2018,6,5,7,9,0
近畿,2019,6,27,7,24,0
近畿,2020,6,10,8,1,0
近畿,2021,6,12,7,17,0
近畿,2022,6,14,6,28,1
東海,1951,6,28,7,18,0
東海,1952,5,27,7,16,0
東海,1953,5,28,7,24,0
東海,1954,6,6,8,2,0
東海,1955,6,2,7,9,0
東海,1956,5,22,7,13,0
東海,1957,6,21,7,29,0
東海,1958,6,25,7,15,0
東海,1959,6,19,7,20,0
東海,1960,6,21,7,11,0
東海,1961,6,21,7,14,0
東海,1962,6,3,7,12,0
東海,1963,5,4,6,22,0
東海,1964,6,20,7,22,0
東海,1965,6,12,7,24,0
東海,1966,6,15,7,13,0
東海,1967,6,22,7,15,0
東海,1968,6,13,7,18,0
東海,1969,6,17,7,14,0
東海,1970,6,10,7,18,0
東海,1971,6,3,7,29,0
東海,1972,6,12,7,18,0
東海,1973,6,6,7,5,0
東海,1974,6,11,7,20,0
東海,1975,6,5,7,15,0
東海,1976,6,5,7,21,0
東海,1977,6,7,7,20,0
東海,1978,6,11,7,4,0
東海,1979,6,7,7,23,0
東海,1980,6,8,7,21,0
東海,1981,6,11,7,15,0
東海,1982,6,17,7,30,0
東海,1983,6,12,7,26,0
東海,1984,6,8,7,19,0
東海,1985,6,8,7,14,0
東海,1986,6,16,7,27,0
東海,1987,6,9,7,24,0
東海,1988,6,8,7,30,0
東海,1989,6,9,7,19,0
東海,1990,6,1,7,18,0
東海,1991,5,31,7,21,0
東海,1992,6,7,7,19,0
東海,1993,5,30,,,0
東海,1994,6,7,7,11,0
東海,1995,6,3,7,23,0
東海,1996,6,8,7,11,0
東海,1997,6,2,7,19,0
東海,1998,6,2,7,31,0
東海,1999,6,15,7,22,0
東海,2000,6,9,7,16,0
東海,2001,6,5,7,2,0
東海,2002,6,11,7,20,0
東海,2003,6,10,7,31,0
東海,2004,6,6,7,13,0
東海,2005,6,11,7,18,0
東海,2006,6,8,7,26,0
東海,2007,6,14,7,27,0
東海,2008,5,28,7,12,0
東海,2009,6,3,8,3,0
東海,2010,6,13,7,17,0
東海,2011,5,22,7,8,0
東海,2012,6,8,7,23,0
東海,2013,5,28,7,7,0
東海,2014,6,4,7,21,0
東海,2015,6,3,7,24,0
東海,2016,6,4,7,28,0
東海,2017,6,21,7,15,0
東海,2018,6,5,7,9,0
東海,2019,6,7,7,24,0
東海,2020,6,10,8,1,0
東海,2021,6,13,7,17,0
東海,2022,6,14,6,27,1
関東甲信,1951,6,15,7,18,0
関東甲信,1952,6,14,7,16,0
関東甲信,1953,6,1,7,24,0
関東甲信,1954,6,6,7,25,0
関東甲信,1955,6,13,7,9,0
関東甲信,1956,6,9,7,26,0
関東甲信,1957,6,6,7,28,0
関東甲信,1958,6,11,7,13,0
関東甲信,1959,6,10,7,6,0
関東甲信,1960,6,19,7,18,0
関東甲信,1961,6,9,7,8,0
関東甲信,1962,6,3,7,12,0
関東甲信,1963,5,6,7,24,0
関東甲信,1964,6,9,7,22,0
関東甲信,1965,6,12,7,27,0
関東甲信,1966,6,9,7,19,0
関東甲信,1967,6,22,7,18,0
関東甲信,1968,6,15,7,19,0
関東甲信,1969,6,17,7,14,0
関東甲信,1970,6,11,7,20,0
関東甲信,1971,6,3,7,29,0
関東甲信,1972,6,12,7,19,0
関東甲信,1973,6,6,7,5,0
関東甲信,1974,6,11,7,25,0
関東甲信,1975,6,5,7,15,0
関東甲信,1976,6,5,7,22,0
関東甲信,1977,6,7,7,21,0
関東甲信,1978,6,11,7,4,0
関東甲信,1979,6,7,7,24,0
関東甲信,1980,6,8,7,21,0
関東甲信,1981,6,11,7,8,0
関東甲信,1982,6,17,8,4,0
関東甲信,1983,6,12,7,26,0
関東甲信,1984,6,10,7,22,0
関東甲信,1985,6,8,7,15,0
関東甲信,1986,6,16,7,27,0
関東甲信,1987,6,9,7,23,0
関東甲信,1988,6,8,7,31,0
関東甲信,1989,6,9,7,19,0
関東甲信,1990,6,1,7,18,0
関東甲信,1991,5,31,7,23,0
関東甲信,1992,6,7,7,19,0
関東甲信,1993,5,30,,,0
関東甲信,1994,6,7,7,12,0
関東甲信,1995,6,3,7,23,0
関東甲信,1996,6,8,7,11,0
関東甲信,1997,6,9,7,19,0
関東甲信,1998,6,2,8,2,0
関東甲信,1999,6,17,7,23,0
関東甲信,2000,6,9,7,16,0
関東甲信,2001,6,5,7,1,0
関東甲信,2002,6,11,7,20,0
関東甲信,2003,6,10,8,2,0
関東甲信,2004,6,6,7,13,0
関東甲信,2005,6,10,7,18,0
関東甲信,2006,6,9,7,30,0
関東甲信,2007,6,22,8,1,0
関東甲信,2008,5,29,7,19,0
関東甲信,2009,6,3,7,14,0
関東甲信,2010,6,13,7,17,0
関東甲信,2011,5,27,7,9,0
関東甲信,2012,6,9,7,25,0
関東甲信,2013,6,10,7,6,0
関東甲信,2014,6,5,7,21,0
関東甲信,2015,6,3,7,10,0
関東甲信,2016,6,5,7,29,0
関東甲信,2017,6,7,7,6,0
関東甲信,2018,6,6,6,29,0
関東甲信,2019,6,7,7,24,0
関東甲信,2020,6,11,8,1,0
関東甲信,2021,6,14,7,16,0
関東甲信,2022,6,6,6,27,1
北陸,1951,6,15,7,18,0
北陸,1952,6,2,7,20,0
北陸,1953,5,28,7,24,0
北陸,1954,6,6,7,18,0
北陸,1955,6,15,7,9,0
北陸,1956,5,22,7,26,0
北陸,1957,6,5,7,31,0
北陸,1958,6,28,7,9,0
北陸,1959,6,10,7,27,0
北陸,1960,6,11,7,18,0
北陸,1961,6,9,7,16,0
北陸,1962,6,3,7,22,0
北陸,1963,5,29,7,25,0
北陸,1964,6,20,7,22,0
北陸,1965,6,19,7,25,0
北陸,1966,6,9,7,20,0
北陸,1967,6,25,7,17,0
北陸,1968,6,16,7,20,0
北陸,1969,6,12,7,16,0
北陸,1970,6,11,7,20,0
北陸,1971,6,4,7,28,0
北陸,1972,6,7,7,19,0
北陸,1973,6,6,7,19,0
北陸,1974,6,11,7,21,0
北陸,1975,6,5,7,16,0
北陸,1976,6,5,7,21,0
北陸,1977,6,10,7,21,0
北陸,1978,6,11,7,8,0
北陸,1979,6,7,7,30,0
北陸,1980,6,9,7,21,0
北陸,1981,6,11,7,16,0
北陸,1982,6,23,7,31,0
北陸,1983,6,12,7,28,0
北陸,1984,6,17,7,22,0
北陸,1985,6,8,7,15,0
北陸,1986,6,16,7,27,0
北陸,1987,6,28,8,8,0
北陸,1988,6,23,7,31,0
北陸,1989,6,15,7,19,0
北陸,1990,6,15,7,20,0
北陸,1991,6,10,8,14,0
北陸,1992,6,7,7,19,0
北陸,1993,6,2,,,0
北陸,1994,6,8,7,13,0
北陸,1995,6,2,7,23,0
北陸,1996,6,7,7,16,0
北陸,1997,6,2,7,18,0
北陸,1998,6,2,,,0
北陸,1999,6,15,7,24,0
北陸,2000,6,8,7,19,0
北陸,2001,6,5,7,2,0
北陸,2002,6,11,7,23,0
北陸,2003,6,12,8,1,0
北陸,2004,6,6,7,22,0
北陸,2005,6,27,7,18,0
北陸,2006,6,15,7,30,0
北陸,2007,6,21,8,1,0
北陸,2008,6,19,8,6,0
北陸,2009,6,3,,,0
北陸,2010,6,13,7,17,0
北陸,2011,6,18,7,9,0
北陸,2012,6,9,7,26,0
北陸,2013,6,18,8,7,0
北陸,2014,6,5,7,21,0
北陸,2015,6,19,7,25,0
北陸,2016,6,13,7,19,0
北陸,2017,6,25,8,2,0
北陸,2018,6,9,7,9,0
北陸,2019,6,7,7,24,0
北陸,2020,6,11,8,1,0
北陸,2021,6,13,7,14,0
北陸,2022,6,14,6,28,1
東北南部,1951,6,4,7,18,0
東北南部,1952,6,23,7,20,0
東北南部,1953,6,5,7,26,0
東北南部,1954,6,6,7,23,0
東北南部,1955,6,15,7,8,0
東北南部,1956,6,20,7,24,0
東北南部,1957,6,18,7,29,0
東北南部,1958,6,8,7,14,0
東北南部,1959,6,1,7,25,0
東北南部,1960,6,21,7,17,0
東北南部,1961,6,21,7,20,0
東北南部,1962,6,3,7,22,0
東北南部,1963,6,3,7,26,0
東北南部,1964,6,8,7,22,0
東北南部,1965,6,14,7,24,0
東北南部,1966,6,4,7,25,0
東北南部,1967,6,26,7,15,0
東北南部,1968,6,16,7,19,0
東北南部,1969,6,17,7,14,0
東北南部,1970,6,15,7,20,0
東北南部,1971,6,3,7,29,0
東北南部,1972,6,12,7,30,0
東北南部,1973,6,6,7,13,0
東北南部,1974,6,4,7,26,0
東北南部,1975,6,5,7,16,0
東北南部,1976,6,5,7,22,0
東北南部,1977,6,11,7,22,0
東北南部,1978,6,11,7,5,0
東北南部,1979,6,8,7,30,0
東北南部,1980,6,8,7,22,0
東北南部,1981,6,11,7,16,0
東北南部,1982,6,23,8,7,0
東北南部,1983,6,13,7,27,0
東北南部,1984,6,10,7,22,0
東北南部,1985,6,8,7,16,0
東北南部,1986,6,17,7,28,0
東北南部,1987,6,25,8,9,0
東北南部,1988,6,9,7,31,0
東北南部,1989,6,15,7,21,0
東北南部,1990,6,15,7,20,0
東北南部,1991,6,10,7,27,0
東北南部,1992,6,8,7,24,0
東北南部,1993,6,3,,,0
東北南部,1994,6,19,7,12,0
東北南部,1995,6,3,7,23,0
東北南部,1996,6,10,7,24,0
東北南部,1997,6,2,7,18,0
東北南部,1998,6,3,,,0
東北南部,1999,6,16,7,24,0
東北南部,2000,6,9,7,19,0
東北南部,2001,6,6,7,7,0
東北南部,2002,6,11,7,23,0
東北南部,2003,6,12,,,0
東北南部,2004,6,7,7,22,0
東北南部,2005,6,15,8,4,0
東北南部,2006,6,9,8,2,0
東北南部,2007,6,21,8,1,0
東北南部,2008,6,22,8,6,0
東北南部,2009,6,4,,,0
東北南部,2010,6,14,7,18,0
東北南部,2011,6,21,7,9,0
東北南部,2012,6,9,7,26,0
東北南部,2013,6,15,8,7,0
東北南部,2014,6,5,7,25,0
東北南部,2015,6,26,7,26,0
東北南部,2016,6,13,7,29,0
東北南部,2017,6,30,,,0
東北南部,2018,6,10,7,14,0
東北南部,2019,6,7,7,25,0
東北南部,2020,6,11,8,2,0
東北南部,2021,6,19,7,16,0
東北南部,2022,6,15,6,29,1
東北北部,1951,6,10,7,23,0
東北北部,1952,6,30,7,20,0
東北北部,1953,6,5,7,28,0
東北北部,1954,6,11,8,1,0
東北北部,1955,6,15,7,9,0
東北北部,1956,6,20,7,25,0
東北北部,1957,6,18,8,10,0
東北北部,1958,6,11,8,1,0
東北北部,1959,6,7,7,25,0
東北北部,1960,6,27,7,18,0
東北北部,1961,6,24,7,28,0
東北北部,1962,6,3,7,25,0
東北北部,1963,6,19,7,27,0
東北北部,1964,6,8,7,25,0
東北北部,1965,6,18,8,6,0
東北北部,1966,6,16,8,7,0
東北北部,1967,7,3,7,18,0
東北北部,1968,6,20,7,23,0
東北北部,1969,6,22,7,14,0
東北北部,1970,6,18,7,20,0
東北北部,1971,6,11,7,30,0
東北北部,1972,6,20,8,6,0
東北北部,1973,6,7,7,13,0
東北北部,1974,6,6,8,3,0
東北北部,1975,6,12,7,19,0
東北北部,1976,6,8,7,23,0
東北北部,1977,6,11,7,22,0
東北北部,1978,6,11,7,8,0
東北北部,1979,6,8,8,8,0
東北北部,1980,6,9,8,3,0
東北北部,1981,6,11,7,17,0
東北北部,1982,6,24,8,7,0
東北北部,1983,6,13,7,29,0
東北北部,1984,6,10,7,22,0
東北北部,1985,6,8,7,19,0
東北北部,1986,6,17,7,28,0
東北北部,1987,6,27,8,9,0
東北北部,1988,6,9,7,31,0
東北北部,1989,6,15,7,21,0
東北北部,1990,6,15,7,27,0
東北北部,1991,6,10,8,14,0
東北北部,1992,6,8,7,29,0
東北北部,1993,6,3,,,0
東北北部,1994,6,19,7,13,0
東北北部,1995,6,14,7,23,0
東北北部,1996,6,11,8,6,0
東北北部,1997,6,2,7,17,0
東北北部,1998,6,3,,,0
東北北部,1999,6,16,7,26,0
東北北部,2000,6,23,7,27,0
東北北部,2001,6,6,,,0
東北北部,2002,6,11,7,25,0
東北北部,2003,6,12,,,0
東北北部,2004,6,19,7,22,0
東北北部,2005,6,25,8,4,0
東北北部,2006,6,15,8,2,0
東北北部,2007,6,29,8,11,0
東北北部,2008,6,23,8,5,0
東北北部,2009,6,4,,,0
東北北部,2010,6,16,7,18,0
東北北部,2011,6,21,7,9,0
東北北部,2012,6,9,7,26,0
東北北部,2013,6,15,8,10,0
東北北部,2014,6,6,7,25,0
東北北部,2015,6,26,7,29,0
東北北部,2016,6,13,7,29,0
東北北部,2017,7,1,,,0
東北北部,2018,6,11,7,19,0
東北北部,2019,6,15,7,31,0
東北北部,2020,6,25,,,0
東北北部,2021,6,19,7,16,0
東北北部,2022,6,15,,,1
